Request Year:,2024
Test:,201
Test Description:,
TestRegime Name:,LMB NMC622 100cyc C/2
TestRegime Suffix:,DEMO
TestRegime CellSize:,Pouch 3.5Ah
TestRegime Version:,1
Project Group Name:,LMB Research
Project Group Description:,Lithium Metal Battery cycling study
Project Group Memo:,
Project Group Storage Environment:,R.T./AMB
Project Group Test Environment:,R.T./AMB
Number Of Cells:,1
Parameter names:,
Parameter values:,
Variable names
LotID:,
Lot Description:,
Date Made:,3/01/2024 0:00
Origin:,Lab
Requestor:,Demo
Product ID:,LMB-NMC622-Pouch
Storage Temp:,R.T./AMB
Storage Delay:,0 days
Test Temp:,R.T./AMB
Start Time:,03/15/2024 10:00:00
End Time:,1/1/0001 0:00
Operator Instructions:,Synthetic demo data for LMBAgent
#RESULTS CHECK
ReqYear,Test,CellNr,Type,Value,Reason,
2024,201,1,1,3500,3,
#END RESULTS CHECK
Test,Cell,Rack,Shelf,Position,Cell ID,Step,Cycle,Total Time (Seconds),Load On Time (Seconds),Step Time (Seconds),Cycle Charge Time (Seconds),Cycle Discharge Time (Seconds),Real Time,Position Start Time,Voltage (mV),Current (mA),Charge Capacity (mAh),Discharge Capacity (mAh),Charge Capacity (mWh),Discharge Capacity (mWh),ReasonCode,50% DoD (mV),PeakPower 1 (W),PeakPower 2 (W),Open Circuit Voltage 1 (V),Open Circuit Voltage 2 (V),Internal Resistance 1 (mOhm),Internal Resistance 2 (mOhm),Ambient temperature (°C),Cell surface temperature (°C),DC Internal Resistance (mOhm),AC Internal Resistance (mOhm),Station Temperature (°C),
201,1,LAB01,001,1,,71,17,215760.142,184,184,5544,184,03/17/2024 21:54:28,03/15/2024 10:00:00,4102.2104,-1750.0,2694.979,89.345,9364.623,367.625,2,0,0,0,0,0,47.8,0,24.99,25.34,,,,
201,1,LAB01,001,1,,71,17,215852.040,276,276,5544,276,03/17/2024 21:56:00,03/15/2024 10:00:00,4080.2649,-1750.0,2694.979,134.017,9364.623,549.900,2,0,0,0,0,0,47.8,0,25.01,25.57,,,,
201,1,LAB01,001,1,,71,17,215943.937,368,368,5544,368,03/17/2024 21:57:32,03/15/2024 10:00:00,4057.5558,-1750.0,2694.979,178.689,9364.623,731.160,2,0,0,0,0,0,47.8,0,25.12,25.81,,,,
201,1,LAB01,001,1,,71,17,216035.834,459,459,5544,459,03/17/2024 21:59:03,03/15/2024 10:00:00,4033.4104,-1750.0,2694.979,223.361,9364.623,911.341,2,0,0,0,0,0,47.8,0,24.97,25.66,,,,
201,1,LAB01,001,1,,71,17,216127.731,551,551,5544,551,03/17/2024 22:00:35,03/15/2024 10:00:00,4011.1911,-1750.0,2694.979,268.034,9364.623,1090.531,2,0,0,0,0,0,47.8,0,24.95,25.78,,,,
201,1,LAB01,001,1,,71,17,216219.629,643,643,5544,643,03/17/2024 22:02:07,03/15/2024 10:00:00,3987.4475,-1750.0,2694.979,312.706,9364.623,1268.659,2,0,0,0,0,0,47.8,0,24.95,25.96,,,,
201,1,LAB01,001,1,,71,17,216311.526,735,735,5544,735,03/17/2024 22:03:39,03/15/2024 10:00:00,3965.2503,-1750.0,2694.979,357.378,9364.623,1445.796,2,0,0,0,0,0,47.8,0,25.18,26.41,,,,
201,1,LAB01,001,1,,71,17,216403.423,827,827,5544,827,03/17/2024 22:05:11,03/15/2024 10:00:00,3940.9756,-1750.0,2694.979,402.051,9364.623,1621.848,2,0,0,0,0,0,47.8,0,25.13,26.12,,,,
201,1,LAB01,001,1,,71,17,216495.320,919,919,5544,919,03/17/2024 22:06:43,03/15/2024 10:00:00,3918.3463,-1750.0,2694.979,446.723,9364.623,1796.890,2,0,0,0,0,0,47.8,0,24.94,26.18,,,,
201,1,LAB01,001,1,,71,17,216587.218,1011,1011,5544,1011,03/17/2024 22:08:15,03/15/2024 10:00:00,3896.2806,-1750.0,2694.979,491.395,9364.623,1970.945,30,0,0,0,0,0,47.8,0,24.96,26.43,,,,
201,1,LAB01,001,1,,71,17,216679.115,1103,1103,5544,1103,03/17/2024 22:09:47,03/15/2024 10:00:00,3871.8076,-1750.0,2694.979,536.067,9364.623,2143.908,2,0,0,0,0,0,47.8,0,25.00,26.35,,,,
201,1,LAB01,001,1,,71,17,216771.012,1195,1195,5544,1195,03/17/2024 22:11:19,03/15/2024 10:00:00,3848.1944,-1750.0,2694.979,580.740,9364.623,2315.815,2,0,0,0,0,0,47.8,0,24.97,26.61,,,,
201,1,LAB01,001,1,,71,17,216862.910,1287,1287,5544,1287,03/17/2024 22:12:51,03/15/2024 10:00:00,3824.4677,-1750.0,2694.979,625.412,9364.623,2486.663,2,0,0,0,0,0,47.8,0,25.05,26.87,,,,
201,1,LAB01,001,1,,71,17,216954.807,1378,1378,5544,1378,03/17/2024 22:14:22,03/15/2024 10:00:00,3799.7832,-1750.0,2694.979,670.084,9364.623,2656.408,2,0,0,0,0,0,47.8,0,25.02,27.15,,,,
201,1,LAB01,001,1,,71,17,217046.704,1470,1470,5544,1470,03/17/2024 22:15:54,03/15/2024 10:00:00,3775.9411,-1750.0,2694.979,714.756,9364.623,2825.088,2,0,0,0,0,0,47.8,0,24.91,26.77,,,,
201,1,LAB01,001,1,,71,17,217138.601,1562,1562,5544,1562,03/17/2024 22:17:26,03/15/2024 10:00:00,3752.3051,-1750.0,2694.979,759.429,9364.623,2992.712,2,0,0,0,0,0,47.8,0,24.82,26.72,,,,
201,1,LAB01,001,1,,71,17,217230.499,1654,1654,5544,1654,03/17/2024 22:18:58,03/15/2024 10:00:00,3731.1972,-1750.0,2694.979,804.101,9364.623,3159.393,2,0,0,0,0,0,47.8,0,24.96,26.96,,,,
201,1,LAB01,001,1,,71,17,217322.396,1746,1746,5544,1746,03/17/2024 22:20:30,03/15/2024 10:00:00,3706.4853,-1750.0,2694.979,848.773,9364.623,3324.970,2,0,0,0,0,0,47.8,0,25.05,27.34,,,,
201,1,LAB01,001,1,,71,17,217414.293,1838,1838,5544,1838,03/17/2024 22:22:02,03/15/2024 10:00:00,3682.9526,-1750.0,2694.979,893.446,9364.623,3489.496,2,0,0,0,0,0,47.8,0,25.26,27.59,,,,
201,1,LAB01,001,1,,71,17,217506.190,1930,1930,5544,1930,03/17/2024 22:23:34,03/15/2024 10:00:00,3659.5220,-1750.0,2694.979,938.118,9364.623,3652.975,30,0,0,0,0,0,47.8,0,24.95,27.17,,,,
201,1,LAB01,001,1,,71,17,217598.088,2022,2022,5544,2022,03/17/2024 22:25:06,03/15/2024 10:00:00,3634.4576,-1750.0,2694.979,982.790,9364.623,3815.335,2,0,0,0,0,0,47.8,0,24.87,27.37,,,,
201,1,LAB01,001,1,,71,17,217689.985,2114,2114,5544,2114,03/17/2024 22:26:38,03/15/2024 10:00:00,3611.6902,-1750.0,2694.979,1027.462,9364.623,3976.677,2,0,0,0,0,0,47.8,0,24.94,27.36,,,,
201,1,LAB01,001,1,,71,17,217781.882,2206,2206,5544,2206,03/17/2024 22:28:09,03/15/2024 10:00:00,3588.5369,-1750.0,2694.979,1072.135,9364.623,4136.985,2,0,0,0,0,0,47.8,0,24.98,27.51,,,,
201,1,LAB01,001,1,,71,17,217873.779,2297,2297,5544,2297,03/17/2024 22:29:41,03/15/2024 10:00:00,3564.0074,-1750.0,2694.979,1116.807,9364.623,4296.198,2,0,0,0,0,0,47.8,0,25.05,27.50,,,,
201,1,LAB01,001,1,,71,17,217965.677,2389,2389,5544,2389,03/17/2024 22:31:13,03/15/2024 10:00:00,3537.8489,-1750.0,2694.979,1161.479,9364.623,4454.241,2,0,0,0,0,0,47.8,0,24.80,27.46,,,,
201,1,LAB01,001,1,,71,17,218057.574,2481,2481,5544,2481,03/17/2024 22:32:45,03/15/2024 10:00:00,3515.3597,-1750.0,2694.979,1206.152,9364.623,4611.281,2,0,0,0,0,0,47.8,0,24.97,27.33,,,,
201,1,LAB01,001,1,,71,17,218149.471,2573,2573,5544,2573,03/17/2024 22:34:17,03/15/2024 10:00:00,3491.1394,-1750.0,2694.979,1250.824,9364.623,4767.238,2,0,0,0,0,0,47.8,0,25.01,27.67,,,,
201,1,LAB01,001,1,,71,17,218241.368,2665,2665,5544,2665,03/17/2024 22:35:49,03/15/2024 10:00:00,3466.8330,-1750.0,2694.979,1295.496,9364.623,4922.109,2,0,0,0,0,0,47.8,0,24.88,27.84,,,,
201,1,LAB01,001,1,,71,17,218333.266,2757,2757,5544,2757,03/17/2024 22:37:21,03/15/2024 10:00:00,3443.3699,-1750.0,2694.979,1340.168,9364.623,5075.932,2,0,0,0,0,0,47.8,0,24.99,27.46,,,,
201,1,LAB01,001,1,,71,17,218425.163,2849,2849,5544,2849,03/17/2024 22:38:53,03/15/2024 10:00:00,3418.7759,-1750.0,2694.979,1384.841,9364.623,5228.657,30,0,0,0,0,0,47.8,0,24.97,27.47,,,,
201,1,LAB01,001,1,,71,17,218517.060,2941,2941,5544,2941,03/17/2024 22:40:25,03/15/2024 10:00:00,3395.2619,-1750.0,2694.979,1429.513,9364.623,5380.331,2,0,0,0,0,0,47.8,0,24.88,27.43,,,,
201,1,LAB01,001,1,,71,17,218608.957,3033,3033,5544,3033,03/17/2024 22:41:57,03/15/2024 10:00:00,3370.2970,-1750.0,2694.979,1474.185,9364.623,5530.890,2,0,0,0,0,0,47.8,0,24.83,27.25,,,,
201,1,LAB01,001,1,,71,17,218700.855,3125,3125,5544,3125,03/17/2024 22:43:28,03/15/2024 10:00:00,3346.7353,-1750.0,2694.979,1518.858,9364.623,5680.396,2,0,0,0,0,0,47.8,0,24.90,27.50,,,,
201,1,LAB01,001,1,,71,17,218792.752,3216,3216,5544,3216,03/17/2024 22:45:00,03/15/2024 10:00:00,3322.1836,-1750.0,2694.979,1563.530,9364.623,5828.805,2,0,0,0,0,0,47.8,0,25.03,27.75,,,,
201,1,LAB01,001,1,,71,17,218884.649,3308,3308,5544,3308,03/17/2024 22:46:32,03/15/2024 10:00:00,3297.4003,-1750.0,2694.979,1608.202,9364.623,5976.108,2,0,0,0,0,0,47.8,0,24.88,27.48,,,,
201,1,LAB01,001,1,,71,17,218976.547,3400,3400,5544,3400,03/17/2024 22:48:04,03/15/2024 10:00:00,3274.1791,-1750.0,2694.979,1652.874,9364.623,6122.373,2,0,0,0,0,0,47.8,0,24.97,27.48,,,,
201,1,LAB01,001,1,,71,17,219068.444,3492,3492,5544,3492,03/17/2024 22:49:36,03/15/2024 10:00:00,3248.8726,-1750.0,2694.979,1697.547,9364.623,6267.507,2,0,0,0,0,0,47.8,0,24.98,27.55,,,,
201,1,LAB01,001,1,,71,17,219160.341,3584,3584,5544,3584,03/17/2024 22:51:08,03/15/2024 10:00:00,3224.1953,-1750.0,2694.979,1742.219,9364.623,6411.540,2,0,0,0,0,0,47.8,0,25.06,27.54,,,,
201,1,LAB01,001,1,,71,17,219252.238,3676,3676,5544,3676,03/17/2024 22:52:40,03/15/2024 10:00:00,3201.6872,-1750.0,2694.979,1786.891,9364.623,6554.566,2,0,0,0,0,0,47.8,0,24.93,27.46,,,,
201,1,LAB01,001,1,,71,17,219344.136,3768,3768,5544,3768,03/17/2024 22:54:12,03/15/2024 10:00:00,3176.0150,-1750.0,2694.979,1831.563,9364.623,6696.446,30,0,0,0,0,0,47.8,0,24.88,27.25,,,,
201,1,LAB01,001,1,,71,17,219436.033,3860,3860,5544,3860,03/17/2024 22:55:44,03/15/2024 10:00:00,3151.2253,-1750.0,2694.979,1876.236,9364.623,6837.219,2,0,0,0,0,0,47.8,0,24.94,26.79,,,,
201,1,LAB01,001,1,,71,17,219527.930,3952,3952,5544,3952,03/17/2024 22:57:16,03/15/2024 10:00:00,3126.6532,-1750.0,2694.979,1920.908,9364.623,6976.893,2,0,0,0,0,0,47.8,0,24.87,26.98,,,,
201,1,LAB01,001,1,,71,17,219619.827,4043,4043,5544,4043,03/17/2024 22:58:47,03/15/2024 10:00:00,3099.9151,-1750.0,2694.979,1965.580,9364.623,7115.374,2,0,0,0,0,0,47.8,0,25.06,26.84,,,,
201,1,LAB01,001,1,,71,17,219711.725,4135,4135,5544,4135,03/17/2024 23:00:19,03/15/2024 10:00:00,3076.1004,-1750.0,2694.979,2010.253,9364.623,7252.790,2,0,0,0,0,0,47.8,0,24.94,26.90,,,,
201,1,LAB01,001,1,,71,17,219803.622,4227,4227,5544,4227,03/17/2024 23:01:51,03/15/2024 10:00:00,3050.5770,-1750.0,2694.979,2054.925,9364.623,7389.066,2,0,0,0,0,0,47.8,0,25.05,26.98,,,,
201,1,LAB01,001,1,,71,17,219895.519,4319,4319,5544,4319,03/17/2024 23:03:23,03/15/2024 10:00:00,3026.6235,-1750.0,2694.979,2099.597,9364.623,7524.272,2,0,0,0,0,0,47.8,0,24.97,26.32,,,,
201,1,LAB01,001,1,,71,17,219987.416,4411,4411,5544,4411,03/17/2024 23:04:55,03/15/2024 10:00:00,3003.3062,-1750.0,2694.979,2144.269,9364.623,7658.437,2,0,0,0,0,0,47.8,0,24.98,26.74,,,,
201,1,LAB01,001,1,,71,17,220079.314,4503,4503,5544,4503,03/17/2024 23:06:27,03/15/2024 10:00:00,2977.2339,-1750.0,2694.979,2188.942,9364.623,7791.437,2,0,0,0,0,0,47.8,0,25.01,26.66,,,,
201,1,LAB01,001,1,,71,17,220171.211,4595,4595,5544,4595,03/17/2024 23:07:59,03/15/2024 10:00:00,2951.5988,-1750.0,2694.979,2233.614,9364.623,7923.291,2,0,0,0,0,0,47.8,0,25.10,26.78,,,,
201,1,LAB01,001,1,,71,17,220263.108,4687,4687,5544,4687,03/17/2024 23:09:31,03/15/2024 10:00:00,2927.2515,-1750.0,2694.979,2278.286,9364.623,8054.058,30,0,0,0,0,0,47.8,0,24.98,26.45,,,,
201,1,LAB01,001,1,,71,17,220355.005,4779,4779,5544,4779,03/17/2024 23:11:03,03/15/2024 10:00:00,2902.3593,-1750.0,2694.979,2322.959,9364.623,8183.713,2,0,0,0,0,0,47.8,0,24.96,26.11,,,,
201,1,LAB01,001,1,,71,17,220446.903,4871,4871,5544,4871,03/17/2024 23:12:35,03/15/2024 10:00:00,2877.0240,-1750.0,2694.979,2367.631,9364.623,8312.237,2,0,0,0,0,0,47.8,0,25.08,26.08,,,,
201,1,LAB01,001,1,,71,17,220538.800,4962,4962,5544,4962,03/17/2024 23:14:06,03/15/2024 10:00:00,2852.4087,-1750.0,2694.979,2412.303,9364.623,8439.660,2,0,0,0,0,0,47.8,0,25.20,26.24,,,,
201,1,LAB01,001,1,,71,17,220630.697,5054,5054,5544,5054,03/17/2024 23:15:38,03/15/2024 10:00:00,2826.5367,-1750.0,2694.979,2456.975,9364.623,8565.928,2,0,0,0,0,0,47.8,0,25.06,25.82,,,,
201,1,LAB01,001,1,,71,17,220722.594,5146,5146,5544,5146,03/17/2024 23:17:10,03/15/2024 10:00:00,2800.4590,-1750.0,2694.979,2501.648,9364.623,8691.031,2,0,0,0,0,0,47.8,0,24.92,25.42,,,,
201,1,LAB01,001,1,,71,17,220814.492,5238,5238,5544,5238,03/17/2024 23:18:42,03/15/2024 10:00:00,2776.8487,-1750.0,2694.979,2546.320,9364.623,8815.079,2,0,0,0,0,0,47.8,0,24.95,25.24,,,,
201,1,LAB01,001,1,,71,17,220906.389,5330,5330,5544,5330,03/17/2024 23:20:14,03/15/2024 10:00:00,2751.1710,-1750.0,2694.979,2590.992,9364.623,8937.980,2,0,0,0,0,0,47.8,0,25.04,25.52,,,,
201,1,LAB01,001,1,,71,17,220998.286,5422,5422,5544,5422,03/17/2024 23:21:46,03/15/2024 10:00:00,2724.3295,-1750.0,2694.979,2635.664,9364.623,9059.682,2,0,0,0,0,0,47.8,0,24.89,25.46,,,,
201,1,LAB01,001,1,,71,17,221090.184,5514,5514,5544,5514,03/17/2024 23:23:18,03/15/2024 10:00:00,2700.0000,-1750.0,2694.979,2680.337,9364.623,9180.297,2,0,0,0,0,0,47.8,0,25.05,25.23,,,,
201,1,LAB01,001,1,,72,18,221110.184,0,0,0,0,03/17/2024 23:24:50,03/15/2024 10:00:00,2901.8168,0.0,0.000,0.000,0.000,0.000,30,0,0,0,0,0,48.0,0,24.85,24.85,,,,
201,1,LAB01,001,1,,72,18,221130.184,0,20,0,0,03/17/2024 23:25:10,03/15/2024 10:00:00,2898.6836,0.0,0.000,0.000,0.000,0.000,2,0,0,0,0,0,48.0,0,25.07,25.07,,,,
201,1,LAB01,001,1,,72,18,221150.184,0,40,0,0,03/17/2024 23:25:30,03/15/2024 10:00:00,2900.7999,0.0,0.000,0.000,0.000,0.000,2,0,0,0,0,0,48.0,0,25.04,25.04,,,,
201,1,LAB01,001,1,,72,18,221170.184,0,60,0,0,03/17/2024 23:25:50,03/15/2024 10:00:00,2899.8124,0.0,0.000,0.000,0.000,0.000,30,0,0,0,0,0,48.0,0,24.95,24.95,,,,
201,1,LAB01,001,1,,72,18,221190.184,0,80,0,0,03/17/2024 23:26:10,03/15/2024 10:00:00,2903.4188,0.0,0.000,0.000,0.000,0.000,2,0,0,0,0,0,48.0,0,24.93,24.93,,,,
201,1,LAB01,001,1,,73,18,221281.691,92,92,92,0,03/17/2024 23:26:30,03/15/2024 10:00:00,2774.9138,1750.0,44.483,0.000,123.437,0.000,30,0,0,0,0,0,48.0,0,24.90,25.14,,,,
201,1,LAB01,001,1,,73,18,221373.199,183,183,183,0,03/17/2024 23:28:01,03/15/2024 10:00:00,2796.7472,1750.0,88.966,0.000,247.844,0.000,2,0,0,0,0,0,48.0,0,24.93,25.29,,,,
201,1,LAB01,001,1,,73,18,221464.707,275,275,275,0,03/17/2024 23:29:33,03/15/2024 10:00:00,2818.9824,1750.0,133.449,0.000,373.241,0.000,2,0,0,0,0,0,48.0,0,24.96,25.40,,,,
201,1,LAB01,001,1,,73,18,221556.215,366,366,366,0,03/17/2024 23:31:04,03/15/2024 10:00:00,2841.7607,1750.0,177.932,0.000,499.651,0.000,2,0,0,0,0,0,48.0,0,25.12,25.56,,,,
201,1,LAB01,001,1,,73,18,221647.723,458,458,458,0,03/17/2024 23:32:36,03/15/2024 10:00:00,2866.6751,1750.0,222.415,0.000,627.169,0.000,2,0,0,0,0,0,48.0,0,25.10,26.01,,,,
201,1,LAB01,001,1,,73,18,221739.231,549,549,549,0,03/17/2024 23:34:07,03/15/2024 10:00:00,2888.3740,1750.0,266.898,0.000,755.653,0.000,2,0,0,0,0,0,48.0,0,25.03,25.92,,,,
201,1,LAB01,001,1,,73,18,221830.739,641,641,641,0,03/17/2024 23:35:39,03/15/2024 10:00:00,2911.2560,1750.0,311.381,0.000,885.155,0.000,2,0,0,0,0,0,48.0,0,24.91,25.96,,,,
201,1,LAB01,001,1,,73,18,221922.247,732,732,732,0,03/17/2024 23:37:10,03/15/2024 10:00:00,2936.0925,1750.0,355.864,0.000,1015.761,0.000,2,0,0,0,0,0,48.0,0,24.86,25.92,,,,
201,1,LAB01,001,1,,73,18,222013.755,824,824,824,0,03/17/2024 23:38:42,03/15/2024 10:00:00,2958.6309,1750.0,400.347,0.000,1147.370,0.000,2,0,0,0,0,0,48.0,0,25.01,26.24,,,,
201,1,LAB01,001,1,,73,18,222105.263,915,915,915,0,03/17/2024 23:40:13,03/15/2024 10:00:00,2982.4294,1750.0,444.830,0.000,1280.037,0.000,2,0,0,0,0,0,48.0,0,24.77,26.22,,,,
201,1,LAB01,001,1,,73,18,222196.771,1007,1007,1007,0,03/17/2024 23:41:45,03/15/2024 10:00:00,3005.4454,1750.0,489.313,0.000,1413.728,0.000,30,0,0,0,0,0,48.0,0,25.06,26.50,,,,
201,1,LAB01,001,1,,73,18,222288.278,1098,1098,1098,0,03/17/2024 23:43:16,03/15/2024 10:00:00,3029.7119,1750.0,533.796,0.000,1548.499,0.000,2,0,0,0,0,0,48.0,0,25.06,26.51,,,,
201,1,LAB01,001,1,,73,18,222379.786,1190,1190,1190,0,03/17/2024 23:44:48,03/15/2024 10:00:00,3050.9048,1750.0,578.279,0.000,1684.212,0.000,2,0,0,0,0,0,48.0,0,25.03,26.67,,,,
201,1,LAB01,001,1,,73,18,222471.294,1281,1281,1281,0,03/17/2024 23:46:19,03/15/2024 10:00:00,3074.4704,1750.0,622.762,0.000,1820.974,0.000,2,0,0,0,0,0,48.0,0,24.88,26.56,,,,
201,1,LAB01,001,1,,73,18,222562.802,1373,1373,1373,0,03/17/2024 23:47:51,03/15/2024 10:00:00,3098.0038,1750.0,667.245,0.000,1958.783,0.000,2,0,0,0,0,0,48.0,0,24.97,26.99,,,,
201,1,LAB01,001,1,,73,18,222654.310,1464,1464,1464,0,03/17/2024 23:49:22,03/15/2024 10:00:00,3121.9342,1750.0,711.728,0.000,2097.656,0.000,2,0,0,0,0,0,48.0,0,24.88,26.77,,,,
201,1,LAB01,001,1,,73,18,222745.818,1556,1556,1556,0,03/17/2024 23:50:54,03/15/2024 10:00:00,3147.1849,1750.0,756.211,0.000,2237.652,0.000,2,0,0,0,0,0,48.0,0,25.01,27.06,,,,
201,1,LAB01,001,1,,73,18,222837.326,1647,1647,1647,0,03/17/2024 23:52:25,03/15/2024 10:00:00,3169.3838,1750.0,800.694,0.000,2378.636,0.000,2,0,0,0,0,0,48.0,0,25.12,27.47,,,,
201,1,LAB01,001,1,,73,18,222928.834,1739,1739,1739,0,03/17/2024 23:53:57,03/15/2024 10:00:00,3192.6367,1750.0,845.177,0.000,2520.654,0.000,2,0,0,0,0,0,48.0,0,24.94,27.20,,,,
201,1,LAB01,001,1,,73,18,223020.342,1830,1830,1830,0,03/17/2024 23:55:28,03/15/2024 10:00:00,3215.5847,1750.0,889.660,0.000,2663.693,0.000,2,0,0,0,0,0,48.0,0,24.95,27.12,,,,
201,1,LAB01,001,1,,73,18,223111.850,1922,1922,1922,0,03/17/2024 23:57:00,03/15/2024 10:00:00,3239.6804,1750.0,934.143,0.000,2807.803,0.000,30,0,0,0,0,0,48.0,0,25.13,27.33,,,,
201,1,LAB01,001,1,,73,18,223203.358,2013,2013,2013,0,03/17/2024 23:58:31,03/15/2024 10:00:00,3264.0455,1750.0,978.626,0.000,2952.998,0.000,2,0,0,0,0,0,48.0,0,25.04,27.45,,,,
201,1,LAB01,001,1,,73,18,223294.865,2105,2105,2105,0,03/18/2024 00:00:03,03/15/2024 10:00:00,3288.5266,1750.0,1023.109,0.000,3099.282,0.000,2,0,0,0,0,0,48.0,0,24.92,27.61,,,,
201,1,LAB01,001,1,,73,18,223386.373,2196,2196,2196,0,03/18/2024 00:01:34,03/15/2024 10:00:00,3312.1700,1750.0,1067.592,0.000,3246.617,0.000,2,0,0,0,0,0,48.0,0,24.95,27.60,,,,
201,1,LAB01,001,1,,73,18,223477.881,2288,2288,2288,0,03/18/2024 00:03:06,03/15/2024 10:00:00,3336.0827,1750.0,1112.075,0.000,3395.016,0.000,2,0,0,0,0,0,48.0,0,25.11,27.78,,,,
201,1,LAB01,001,1,,73,18,223569.389,2379,2379,2379,0,03/18/2024 00:04:37,03/15/2024 10:00:00,3358.7444,1750.0,1156.558,0.000,3544.423,0.000,2,0,0,0,0,0,48.0,0,24.98,27.61,,,,
201,1,LAB01,001,1,,73,18,223660.897,2471,2471,2471,0,03/18/2024 00:06:09,03/15/2024 10:00:00,3384.2434,1750.0,1201.041,0.000,3694.964,0.000,2,0,0,0,0,0,48.0,0,25.04,27.48,,,,
201,1,LAB01,001,1,,73,18,223752.405,2562,2562,2562,0,03/18/2024 00:07:40,03/15/2024 10:00:00,3408.2048,1750.0,1245.524,0.000,3846.571,0.000,2,0,0,0,0,0,48.0,0,25.17,27.77,,,,
201,1,LAB01,001,1,,73,18,223843.913,2654,2654,2654,0,03/18/2024 00:09:12,03/15/2024 10:00:00,3429.8879,1750.0,1290.007,0.000,3999.143,0.000,2,0,0,0,0,0,48.0,0,25.03,27.73,,,,
201,1,LAB01,001,1,,73,18,223935.421,2745,2745,2745,0,03/18/2024 00:10:43,03/15/2024 10:00:00,3455.5665,1750.0,1334.490,0.000,4152.857,0.000,2,0,0,0,0,0,48.0,0,25.10,27.75,,,,
201,1,LAB01,001,1,,73,18,224026.929,2837,2837,2837,0,03/18/2024 00:12:15,03/15/2024 10:00:00,3480.7230,1750.0,1378.973,0.000,4307.690,0.000,30,0,0,0,0,0,48.0,0,24.97,27.59,,,,
201,1,LAB01,001,1,,73,18,224118.437,2928,2928,2928,0,03/18/2024 00:13:46,03/15/2024 10:00:00,3504.3533,1750.0,1423.456,0.000,4463.574,0.000,2,0,0,0,0,0,48.0,0,25.16,27.42,,,,
201,1,LAB01,001,1,,73,18,224209.945,3020,3020,3020,0,03/18/2024 00:15:18,03/15/2024 10:00:00,3529.6624,1750.0,1467.939,0.000,4620.584,0.000,2,0,0,0,0,0,48.0,0,25.10,27.34,,,,
201,1,LAB01,001,1,,73,18,224301.452,3111,3111,3111,0,03/18/2024 00:16:49,03/15/2024 10:00:00,3551.7471,1750.0,1512.422,0.000,4778.577,0.000,2,0,0,0,0,0,48.0,0,24.92,27.42,,,,
201,1,LAB01,001,1,,73,18,224392.960,3203,3203,3203,0,03/18/2024 00:18:21,03/15/2024 10:00:00,3576.9344,1750.0,1556.905,0.000,4937.690,0.000,2,0,0,0,0,0,48.0,0,24.92,27.45,,,,
201,1,LAB01,001,1,,73,18,224484.468,3294,3294,3294,0,03/18/2024 00:19:52,03/15/2024 10:00:00,3601.7287,1750.0,1601.388,0.000,5097.905,0.000,2,0,0,0,0,0,48.0,0,25.17,27.70,,,,
201,1,LAB01,001,1,,73,18,224575.976,3386,3386,3386,0,03/18/2024 00:21:24,03/15/2024 10:00:00,3625.2926,1750.0,1645.871,0.000,5259.169,0.000,2,0,0,0,0,0,48.0,0,24.97,27.33,,,,
201,1,LAB01,001,1,,73,18,224667.484,3477,3477,3477,0,03/18/2024 00:22:55,03/15/2024 10:00:00,3650.9400,1750.0,1690.354,0.000,5421.574,0.000,2,0,0,0,0,0,48.0,0,25.09,27.33,,,,
201,1,LAB01,001,1,,73,18,224758.992,3569,3569,3569,0,03/18/2024 00:24:27,03/15/2024 10:00:00,3674.7060,1750.0,1734.837,0.000,5585.036,0.000,2,0,0,0,0,0,48.0,0,24.97,27.45,,,,
201,1,LAB01,001,1,,73,18,224850.500,3660,3660,3660,0,03/18/2024 00:25:58,03/15/2024 10:00:00,3699.6392,1750.0,1779.320,0.000,5749.607,0.000,2,0,0,0,0,0,48.0,0,24.82,27.23,,,,
201,1,LAB01,001,1,,73,18,224942.008,3752,3752,3752,0,03/18/2024 00:27:30,03/15/2024 10:00:00,3724.7366,1750.0,1823.803,0.000,5915.295,0.000,30,0,0,0,0,0,48.0,0,25.09,27.28,,,,
201,1,LAB01,001,1,,73,18,225033.516,3843,3843,3843,0,03/18/2024 00:29:02,03/15/2024 10:00:00,3748.5109,1750.0,1868.286,0.000,6082.040,0.000,2,0,0,0,0,0,48.0,0,25.03,27.06,,,,
201,1,LAB01,001,1,,73,18,225125.024,3935,3935,3935,0,03/18/2024 00:30:33,03/15/2024 10:00:00,3773.7428,1750.0,1912.769,0.000,6249.907,0.000,2,0,0,0,0,0,48.0,0,24.90,27.03,,,,
201,1,LAB01,001,1,,73,18,225216.532,4026,4026,4026,0,03/18/2024 00:32:05,03/15/2024 10:00:00,3798.5618,1750.0,1957.253,0.000,6418.879,0.000,2,0,0,0,0,0,48.0,0,25.12,27.04,,,,
201,1,LAB01,001,1,,73,18,225308.039,4118,4118,4118,0,03/18/2024 00:33:36,03/15/2024 10:00:00,3823.8085,1750.0,2001.736,0.000,6588.973,0.000,2,0,0,0,0,0,48.0,0,25.11,27.00,,,,
201,1,LAB01,001,1,,73,18,225399.547,4209,4209,4209,0,03/18/2024 00:35:08,03/15/2024 10:00:00,3849.6890,1750.0,2046.219,0.000,6760.219,0.000,2,0,0,0,0,0,48.0,0,24.97,26.89,,,,
